Jeff Hartmann                           Flat 6, 62 Carregamman Lane, Cwm Cadnant, Wales, LL59 1TX                                           Happy Birthday, Jeff Hartmann
Susan Medhurst                          82 Friendly Place, Hounslow, England, TW8 7QD                                                       Happy Birthday, Susan Medhurst
Jim Huel                                Flat 26, 8 Aberafan Centre, York, England, YO31 1YF                                                 Happy Birthday, Jim Huel
Ruben Medhurst                          6 Birchfield Road East, Kilmacolm, Scotland, PA13 7WS                                               Happy Birthday, Ruben Medhurst
Jill Farrell V                          Flat 4, 706 Gilray Road, Hampshire, England, PO14 8SN                                               Happy Birthday, Jill Farrell V
Marshall Lesch                          Flat 7, 4 Shanklin Road, Angus, Scotland, DD9 1XA                                                   Happy Birthday, Marshall Lesch
Ms. Maggie Green                        Studio 9, 63 Head Road, Princes Risborough, England, HP27 0PA                                       Happy Birthday, Ms. Maggie Green
Hope Collins                            Flat 40, 9 Green Place, Aylesbury, England, HP20 6TR                                                Happy Birthday, Hope Collins
Marjorie Christiansen PhD               716 Cargfo Fleet Lane, Manchester, England, M23 2SG                                                 Happy Birthday, Marjorie Christiansen PhD
Mrs. Johnnie Swift                      6 Lower Ground Mall, Roslin, Scotland, EH25 6JR                                                     Happy Birthday, Mrs. Johnnie Swift
Lela Bins                               6 St Sepulchre Gate West, Coventry, England, CV4 3TQ                                                Happy Birthday, Lela Bins
Denise Parisian                         Flat 91, 28 Bo'ness Road, Enfield, England, N14 7WS                                                 Happy Birthday, Denise Parisian
Otis Hammes DDS                         2 Quarry Hill Parade, Southport, England, L38 1YB                                                   Happy Birthday, Otis Hammes DDS
Carrie Morissette II                    Flat 2, 88 Clifford Road, Llantwit Major, Wales, CF61 5BA                                           Happy Birthday, Carrie Morissette II
Jesse Yost DDS                          2 Kirby Road, Camberwell, England, SE16 8PR                                                         Happy Birthday, Jesse Yost DDS
Edwin Lebsack                           Flat 51, 43 St Mary Way, Manchester, England, M20 2XB                                               Happy Birthday, Edwin Lebsack
Harry Armstrong MD                      8 Great St Helens, Barry, Wales, CF62 0EP                                                           Happy Birthday, Harry Armstrong MD
Bethany Rowe                            27 Camperdown Road, Northampton, England, NN4 6YF                                                   Happy Birthday, Bethany Rowe
Janis Gislason                          9 South View East, Romford, England, RM3 2JG                                                        Happy Birthday, Janis Gislason
Guy Stehr                               Studio 9, 38 The Nook, Llanfallteg, Wales, SA34 3GX                                                 Happy Birthday, Guy Stehr
Mrs. Jacob Reichert                     61 Urban Drive, Bury St Edmunds, England, IP33 5UN                                                  Happy Birthday, Mrs. Jacob Reichert
Marie Smitham                           14 Wentworth St, Worcester, England, WR5 7SR                                                        Happy Birthday, Marie Smitham
Freda Glover                            Flat 58, 22 Stockbury Road West, Barking, England, RM8 6HT                                          Happy Birthday, Freda Glover
Jackie McLaughlin                       Studio 5, 2 Market Mall, Eilean Siar, Scotland, HS6 2FT                                             Happy Birthday, Jackie McLaughlin
Janis Mitchell                          8 Albany Gardens, Sandringham, England, PE35 3GG                                                    Happy Birthday, Janis Mitchell
Terrell Gulgowski                       2 Hammersmith Bridge Road, Epping, England, CM16 6XF                                                Happy Birthday, Terrell Gulgowski
Stacy Huels                             2 Borwick Drive, Ilkeston, England, DE7 9GQ                                                         Happy Birthday, Stacy Huels
Alfred Schimmel                         6 Cleave Avenue, Bangor, Northern Ireland, BT20 8SP                                                 Happy Birthday, Alfred Schimmel
Tonya Lesch                             Flat 56, 9 Radlett Way, Barking, England, RM8 2FH                                                   Happy Birthday, Tonya Lesch
Karen Mitchell                          5 Nissan Way, Westhoughton, England, BL5 0LH                                                        Happy Birthday, Karen Mitchell
Terri Abernathy                         Studio 9, 7 James Way, Buckingham, England, MK18 4GE                                                Happy Birthday, Terri Abernathy
Felipe Stehr                            Flat 7, 5 Wheatlands Road, Hilton, England, DE65 2BU                                                Happy Birthday, Felipe Stehr
Arthur Bernier PhD                      1 Bath Hard Lane, Sutton in Ashfield, England, NG17 7YS                                             Happy Birthday, Arthur Bernier PhD
Kristie Robel                           60 Green Lane West, Pamber, England, RG26 0JH                                                       Happy Birthday, Kristie Robel
Gene Feeney                             6 Liberton Road, Leamington Spa, England, CV31 5XA                                                  Happy Birthday, Gene Feeney
Ella Schulist                           224 Foss Street, Trindon, England, TS22 4NA                                                         Happy Birthday, Ella Schulist
Doug Luettgen                           19 Wilpshire Road, Warsop, England, NG20 5QF                                                        Happy Birthday, Doug Luettgen
Manuel O'Conner II                      50 Lifestyle Shopping Park, Gretna, Scotland, DG16 4YJ                                              Happy Birthday, Manuel O'Conner II
Geneva Schaden                          10 Foxoak Park, Mauchline, Scotland, KA5 7RX                                                        Happy Birthday, Geneva Schaden
Dennis Gutmann                          Flat 57, 3 Hermes Street, Bishops Waltham, England, SO32 7HD                                        Happy Birthday, Dennis Gutmann
Marcia Satterfield                      3 Wheeler Road, Scarborough, England, YO11 9AY                                                      Happy Birthday, Marcia Satterfield
Janie Predovic V                        Studio 86, 26 Upper Brook Street, Romford, England, RM13 0UL                                        Happy Birthday, Janie Predovic V
Anthony O'Conner                        Studio 2, 72 Thornbridge Avenue, Brent, England, NW2 5EQ                                            Happy Birthday, Anthony O'Conner
Gerardo Wilderman                       68 Maxwell Street, Arniston, Scotland, EH23 5RN                                                     Happy Birthday, Gerardo Wilderman
Elisa Mitchell                          86 Fabian Way, Turriff, Scotland, AB53 1YZ                                                          Happy Birthday, Elisa Mitchell
Wallace Pfannerstill                    Studio 8, 81 City Square Centre, Duston, England, NN5 2WS                                           Happy Birthday, Wallace Pfannerstill
Pamela Romaguera                        4 Well Hall Parade, Aylesbury, England, HP19 8XS                                                    Happy Birthday, Pamela Romaguera
Tommy Abernathy V                       15 Sayers Lane, Abenbury, Wales, LL13 2GA                                                           Happy Birthday, Tommy Abernathy V
Bernadette Gleichner PhD                55 Churchyardside, Ilford, England, IG2 5JT                                                         Happy Birthday, Bernadette Gleichner PhD
Shawn Ledner                            24 Carvedras Road, Radlett, England, WD7 5DA                                                        Happy Birthday, Shawn Ledner
Lora Williamson                         Studio 6, 6 King Cross Street, Hatfield, England, AL10 6DQ                                          Happy Birthday, Lora Williamson
Jessie Beahan                           35 Downall Green Road, Eilean Siar, Scotland, HS2 5AG                                               Happy Birthday, Jessie Beahan
Carolyn Konopelski                      Studio 28, 8 Printing House Lane, Hardhorn and Thornton, England, FY7 8BU                           Happy Birthday, Carolyn Konopelski
Salvador Marvin                         85 Princeton Court, Richmond, England, SW13 3ZT                                                     Happy Birthday, Salvador Marvin
Gretchen Robel                          Flat 1, 6 Gosnold Street, Bradwell Abbey, England, MK8 8YQ                                          Happy Birthday, Gretchen Robel
Robert Kuhic                            Flat 26, 2 Sherfield Road, Blackpool, England, FY3 8XZ                                              Happy Birthday, Robert Kuhic
Lula Williamson                         5 Carpenter Mews, Granton and Trinity, Scotland, EH5 9UR                                            Happy Birthday, Lula Williamson
David Gusikowski                        4 Kirkmanshulme Lane, Port Askaig, Scotland, PA46 2ZR                                               Happy Birthday, David Gusikowski
Ann Thompson                            Studio 3, 4 Greeen Oaks Centre, Tonypandy, Wales, CF40 9YZ                                          Happy Birthday, Ann Thompson
Kendra Cummings                         815 Teville Place, Melton Mowbray, England, LE14 2AX                                                Happy Birthday, Kendra Cummings
Lee Borer                               8 Northesk Road, Falmouth, England, TR11 5SL                                                        Happy Birthday, Lee Borer
Debra Rogahn                            Flat 16, 4 Bran Close, Newport, England, TF10 6ZF                                                   Happy Birthday, Debra Rogahn
Casey Strosin                           Studio 4, 78 Bridge Works, Burnham Without, England, TA9 1JU                                        Happy Birthday, Casey Strosin
Christina DuBuque                       2 Limes Avenue, West Bromwich, England, B66 6TR                                                     Happy Birthday, Christina DuBuque
Edwin Schaefer                          827 Leopold Road, Oswestry Rural, England, SY10 5NU                                                 Happy Birthday, Edwin Schaefer
Carolyn Bashirian                       Studio 9, 83 Lower Stanton Road, Roundway, England, SN10 8XA                                        Happy Birthday, Carolyn Bashirian
Shari Braun                             16 Tennent Street, Kensington, England, SW10 3JS                                                    Happy Birthday, Shari Braun
Bert Wisozk                             19 Drayson Mews, Perth and Kinross, Scotland, PH9 1ND                                               Happy Birthday, Bert Wisozk
Adrian Robel                            Studio 242, 2 Berrington Way, City of London, England, EC4A 4FD                                     Happy Birthday, Adrian Robel
Gary Hessel                             34 Fentiman Road, Atherstone, England, CV9 1JN                                                      Happy Birthday, Gary Hessel
Kevin Lesch                             251 Hassall Green, Wandsworth, England, SW17 8WT                                                    Happy Birthday, Kevin Lesch
Karl Emard                              3 Savile Road, High Wycombe, England, HP11 0PL                                                      Happy Birthday, Karl Emard
Clarence King                           7 Castle Blair Works, Gillingham, England, ME7 6AR                                                  Happy Birthday, Clarence King
Rochelle Waters                         4 Dunbarton Road, Liverpool, England, L3 2BD                                                        Happy Birthday, Rochelle Waters
Theresa Boyle                           6 Shirley High Street, Hoo St Werburgh, England, ME3 0NR                                            Happy Birthday, Theresa Boyle
Heather Bashirian                       Studio 33, 86 Sauchiehall Street Centre, Paddington, England, W1M 0DD                               Happy Birthday, Heather Bashirian
Julian Weber III                        91 Sykes Road Business Centre, Willen, England, MK15 7YX                                            Happy Birthday, Julian Weber III
Julio Krajcik                           14 Wrexham Street, Highland, Scotland, IV7 1UF                                                      Happy Birthday, Julio Krajcik
Mrs. Homer Kutch                        9 Winnall Valley Road, Beaumaris, Wales, LL58 7FB                                                   Happy Birthday, Mrs. Homer Kutch
William Cronin                          466 Tyler Close, Great Missenden, England, HP16 2ZQ                                                 Happy Birthday, William Cronin
Johnny Russel Sr.                       589 Green Close Lane, Leiston, England, IP16 4AA                                                    Happy Birthday, Johnny Russel Sr.
Doyle Reichel                           Studio 61, 78 Frimley Road, Heybridge, England, CM9 0PL                                             Happy Birthday, Doyle Reichel
Kenneth Herzog                          Studio 6, 94 Marton Drive, Gillingham, England, ME7 9AY                                             Happy Birthday, Kenneth Herzog
Geoffrey Gleason                        Flat 8, 42 Dunrobin Court, Birmingham, England, B15 6RE                                             Happy Birthday, Geoffrey Gleason
Warren Bogan                            1 Griffin Centre, Perranarworthal, England, TR3 6FU                                                 Happy Birthday, Warren Bogan
Jamie Corwin                            1 Strathmartine Road, Frome, England, BA11 9LB                                                      Happy Birthday, Jamie Corwin
Andrea Swaniawski                       Studio 4, 2 Vickers Drive, Birkenhead, England, CH49 0BY                                            Happy Birthday, Andrea Swaniawski
Mr. Maggie Johnston                     10 Leeming Lane, Kidsgrove, England, ST7 9EJ                                                        Happy Birthday, Mr. Maggie Johnston
Erica Gerlach                           Studio 3, 4 Bridgewater Avenue, Salford, England, M27 4UB                                           Happy Birthday, Erica Gerlach
Arnold Muller                           Flat 1, 64 Fairpark Road, Hounslow, England, TW5 8SP                                                Happy Birthday, Arnold Muller
Virgil Schuppe DDS                      99 Houndhill Business Park, Walsall, England, WS5 4TB                                               Happy Birthday, Virgil Schuppe DDS
Henry McGlynn                           7 Charbridge Way, Teignmouth, England, TQ14 8UH                                                     Happy Birthday, Henry McGlynn
Francis Spencer PhD                     1 Longsmith Street, Oldham, England, M35 1UB                                                        Happy Birthday, Francis Spencer PhD
Erik Kutch                              67 Cardea District Centre, Ulverston, England, LA12 0QH                                             Happy Birthday, Erik Kutch
Laura Bartoletti                        2 Toll Gravel, Gillingham, England, ME8 5QP                                                         Happy Birthday, Laura Bartoletti
Kristy Conn                             1 Paragon Road, Chepping Wycombe, England, HP10 4PE                                                 Happy Birthday, Kristy Conn
Andrew Weimann                          439 Netherfield Road North, Bristol, England, BS11 8NR                                              Happy Birthday, Andrew Weimann
Calvin Gleason                          6 Apple Tree Yard, Catterlen, England, CA11 6GF                                                     Happy Birthday, Calvin Gleason
Dennis DuBuque                          1 Gas Street, Burnham Without, England, TA9 6TU                                                     Happy Birthday, Dennis DuBuque
Josephine Johns                         20 Mandeville Drive, Hopesay, England, SY7 9PW                                                      Happy Birthday, Josephine Johns
Ramiro Emmerich                         6 Dalton Road, Sulhamstead, England, RG7 4RF                                                        Happy Birthday, Ramiro Emmerich
Rebecca McGlynn                         Flat 8, 15 Attwood Road, Tonna, Wales, SA11 8XT                                                     Happy Birthday, Rebecca McGlynn
Shawn Murray                            18 Lightburn Road, Wallasey, England, CH44 0LR                                                      Happy Birthday, Shawn Murray
Clifford Crooks                         Flat 4, 95 Level Two, Betws-yn-Rhos, Wales, LL22 6FQ                                                Happy Birthday, Clifford Crooks
Abraham Dickens                         11 Thorneliebank Road, Glasgow, Scotland, G32 0EB                                                   Happy Birthday, Abraham Dickens
Danielle Wiza                           Studio 99, 12 Barnet Wood Lane, Saltash, England, PL12 1SZ                                          Happy Birthday, Danielle Wiza
Lela Wuckert                            93 Barclay Way, Queensbury, England, BD18 6YF                                                       Happy Birthday, Lela Wuckert
Rick Marquardt                          Flat 9, 45 Lancaster Way, Romford, England, RM7 1JY                                                 Happy Birthday, Rick Marquardt
Angela Abshire                          98 Marina, Annan, Scotland, DG12 4RR                                                                Happy Birthday, Angela Abshire
Doreen Yost                             8 Moorfield Parade, Salford, England, M3 3ZJ                                                        Happy Birthday, Doreen Yost
Steve Pfeffer DDS                       Flat 391, 4 Ford Airfield, Colan, England, TR8 8XL                                                  Happy Birthday, Steve Pfeffer DDS
Elias Connelly                          91 Rishworth Centre, Darlington, England, DL1 9YS                                                   Happy Birthday, Elias Connelly
Travis Schmidt                          Flat 6, 8 Grove Park, Wansbeck, England, NE62 9WS                                                   Happy Birthday, Travis Schmidt
Miss Ira Gerhold                        Flat 165, 6 Hillhouse Road, Hull, England, HU6 2JL                                                  Happy Birthday, Miss Ira Gerhold
Grant Altenwerth                        1 Colyers Lane, Uttoxeter, England, ST14 1GG                                                        Happy Birthday, Grant Altenwerth
Benjamin Ondricka                       5 The Brooks, Linwood, England, LN8 2LR                                                             Happy Birthday, Benjamin Ondricka
Mr. Jennie Gorczany                     Studio 78, 7 Jackfield, Renfrewshire, Scotland, PA6 3WN                                             Happy Birthday, Mr. Jennie Gorczany
Robin Moore IV                          49 Sivell Place, Brighton, England, BN41 4NZ                                                        Happy Birthday, Robin Moore IV
Jodi Botsford                           2 St Amrks Road, Bristol, England, BS14 1EH                                                         Happy Birthday, Jodi Botsford
Mr. Essie Aufderhar                     Studio 2, 4 Snuff Street, Glasgow, Scotland, G32 6TX                                                Happy Birthday, Mr. Essie Aufderhar
Dr. Roderick Marquardt                  2 St Peters Park Road, Westham, England, BN24 5SF                                                   Happy Birthday, Dr. Roderick Marquardt
Holly Trantow DVM                       4 Crown Gate, Bryncrug, Wales, LL36 1HL                                                             Happy Birthday, Holly Trantow DVM
Dr. Laverne Anderson                    35 Trinty Gate, Sutton upon Tern, England, TF9 9RH                                                  Happy Birthday, Dr. Laverne Anderson
Jamie Schoen                            21 Merkland Drive, Clint, England, HG3 8YH                                                          Happy Birthday, Jamie Schoen
Ana Spencer                             Studio 3, 3 Parc Menai, Aberdeen, Scotland, AB23 6FS                                                Happy Birthday, Ana Spencer
Leroy Wisozk                            Flat 9, 9 Westside Retail Park, Clydau, Wales, SA35 4DN                                             Happy Birthday, Leroy Wisozk
Mrs. Marlene Hickle                     8 Bridgewater Road, Llanfair-Mathafarn-Eithaf, Wales, LL76 7UB                                      Happy Birthday, Mrs. Marlene Hickle
Lynda Smitham                           Studio 7, 7 The Pinnacle Mk, The Scottish Borders, Scotland, TD11 7FB                               Happy Birthday, Lynda Smitham
Ella Batz                               Flat 5, 2 Abbey Gates, Storrington, England, RH20 6WJ                                               Happy Birthday, Ella Batz
Rosalie Hickle                          16 Hill Village Road, Ringwood, England, BH24 5XR                                                   Happy Birthday, Rosalie Hickle
Brandi Pollich III                      Flat 6, 409 Ledsham Road, Glengarnock, Scotland, KA14 9RZ                                           Happy Birthday, Brandi Pollich III
Leah Macejkovic                         83 Colton Retail Park, Queensbury, England, BD1 3QS                                                 Happy Birthday, Leah Macejkovic
Dr. Nick Schuppe                        Studio 3, 56 Double Row, Sutton upon Tern, England, TF9 9YZ                                         Happy Birthday, Dr. Nick Schuppe
Hilda Davis                             Flat 7, 1 Hardwick Place, Camden Town, England, NW3 5FJ                                             Happy Birthday, Hilda Davis
Wilson Pagac DVM                        Studio 2, 82 Drayton Street, North Tyneside, England, NE25 7FS                                      Happy Birthday, Wilson Pagac DVM
Glen Bayer                              Studio 93, 3 Molesey, Kirklinton, England, CA6 2HF                                                  Happy Birthday, Glen Bayer
Tommy Mante                             349 Palk Street, Milngavie, Scotland, G62 7SZ                                                       Happy Birthday, Tommy Mante
Archie Wuckert                          Studio 7, 87 Ludgley Street, Llanharan, Wales, CF72 7ZX                                             Happy Birthday, Archie Wuckert
Carroll Stark                           34 Dalkeith Arcade, Carterton, England, OX18 5TB                                                    Happy Birthday, Carroll Stark
Bert Yundt                              3 Felcourt Road, Broxburn, Scotland, EH52 1EB                                                       Happy Birthday, Bert Yundt
Terrance Mann                           27 Princess Elizabeth Way, Skeeby, England, DL10 5BZ                                                Happy Birthday, Terrance Mann
Ian Block                               Flat 75, 69 Hailsham Place, Greenock, Scotland, PA19 6GG                                            Happy Birthday, Ian Block
Kelli Howe Sr.                          9 Ashley Lane, Spennithorne, England, DL8 2HX                                                       Happy Birthday, Kelli Howe Sr.
Cary Predovic                           92 Pellon New Road, Lisburn, Northern Ireland, BT26 8NL                                             Happy Birthday, Cary Predovic
Jenny Mohr                              2 Bablock Hythe Road, South Tyneside, England, NE32 5AU                                             Happy Birthday, Jenny Mohr
Carla Gutmann                           38 Maconochie Road, Milford Haven, Wales, SA73 7LX                                                  Happy Birthday, Carla Gutmann
Mr. Lindsay Grimes                      8 Cheviot Street, North Piddle, England, WR7 7RQ                                                    Happy Birthday, Mr. Lindsay Grimes
Mrs. Violet Goldner                     Studio 21, 4 Merchant Quay, Manchester, England, M1 9SL                                             Happy Birthday, Mrs. Violet Goldner
Cesar Lemke I                           Flat 6, 3 Milton Of Craigee Road, Bridge of Don, Scotland, AB22 8XA                                 Happy Birthday, Cesar Lemke I
Ms. Marguerite Mosciski                 Flat 51, 2 Tomlinson Street, Richmond, Guernsey, GY7 3XF                                            Happy Birthday, Ms. Marguerite Mosciski
Neil Tremblay                           8 Larch Road, Llanllwchaiarn, Wales, SY16 9RD                                                       Happy Birthday, Neil Tremblay
Christina Howell                        43 Boreham Five, Thornaby, England, TS17 9LS                                                        Happy Birthday, Christina Howell
Miss Maria Mann                         Studio 19, 4 Codham Hall, Newry and Mourne, Northern Ireland, BT35 4DU                              Happy Birthday, Miss Maria Mann
Marta Boyer                             1 Cassland Road, Kirknewton, Scotland, EH27 3FQ                                                     Happy Birthday, Marta Boyer
Ms. Maggie Carroll                      3 Green Elms Trading Estate, Petersfield, England, GU31 0HA                                         Happy Birthday, Ms. Maggie Carroll
Jody Herzog                             Flat 56, 43 Cossall Industrial Estate, Newcastle Upon Tyne, England, NE3 5DG                        Happy Birthday, Jody Herzog
Josh Hermann                            4 Stanley Park Avenue South, Rosewell, Scotland, EH24 5DW                                           Happy Birthday, Josh Hermann
Leigh Pollich                           Flat 9, 9 Micawber Street, Ashton-under-Lyne, England, SK14 1YH                                     Happy Birthday, Leigh Pollich
Freda O'Reilly DVM                      53 Barleymow Passage, Lincoln, England, LN6 6WH                                                     Happy Birthday, Freda O'Reilly DVM
Lila Brekke                             42 Wood Lane Underground Station, Brent, England, NW10 3LA                                          Happy Birthday, Lila Brekke
Diane Swaniawski                        30 St Dominic Square, Sunderland, England, SR1 5YT                                                  Happy Birthday, Diane Swaniawski
Ricardo Dickinson                       Flat 3, 1 West Ferry, Hawkinge, England, CT18 1XQ                                                   Happy Birthday, Ricardo Dickinson
Ray Russel                              5 Queens Arcade Centre, Porthmadog, Wales, LL49 7DU                                                 Happy Birthday, Ray Russel
Troy Lockman                            6 Keysers Court, Margate, England, CT8 1PL                                                          Happy Birthday, Troy Lockman
Alfonso Kemmer III                      Studio 4, 8 Luna Place, Grantown-on-Spey, Scotland, PH26 7LY                                        Happy Birthday, Alfonso Kemmer III
Dave Wiza                               38 Alba Campus, Sittingbourne, England, ME10 5NJ                                                    Happy Birthday, Dave Wiza
Joseph Ortiz                            7 Tessall Lane, Rochester, England, ME5 2PL                                                         Happy Birthday, Joseph Ortiz
Sylvester Miller DVM                    Studio 88, 794 Sherrington Way, Northampton, England, NN1 4GX                                       Happy Birthday, Sylvester Miller DVM
Gilberto Lockman                        8 Aldsworth Avenue, Tamworth, England, B77 7TZ                                                      Happy Birthday, Gilberto Lockman
Mathew Haley                            7 Tom Dando Close, Isles of Scilly, England, TR24 7XY                                               Happy Birthday, Mathew Haley
Leland Kshlerin                         82 Coalway Road, Sutton in Ashfield, England, NG15 3PY                                              Happy Birthday, Leland Kshlerin
Don Gleichner                           3 Filmer Road, Gravesend, England, DA11 3RH                                                         Happy Birthday, Don Gleichner
Mrs. Owen Zboncak                       56 Doxford National Business Park, Hoddesdon, England, EN11 4XA                                     Happy Birthday, Mrs. Owen Zboncak
Katrina Padberg PhD                     1 Townsend Way, Southport, England, L21 8ET                                                         Happy Birthday, Katrina Padberg PhD
Van Rosenbaum                           23 Websters Way, Ely, Wales, CF5 8NX                                                                Happy Birthday, Van Rosenbaum
Victor Streich                          Studio 81, 4 Birchills Street, Wolverhampton, England, WV3 0QT                                      Happy Birthday, Victor Streich
Jeffrey Langworth                       Flat 2, 5 Crocketts Manor, Lcp Stanhope and Wolsingham Parishes And, England, DL15 0LZ              Happy Birthday, Jeffrey Langworth
Marlon McClure                          79 Old Rowney Farm, Blackpool, England, FY1 6YW                                                     Happy Birthday, Marlon McClure
Fredrick Heidenreich II                 3 Port Way, Amesbury, England, SP4 6TQ                                                              Happy Birthday, Fredrick Heidenreich II
Marty Kessler                           5 East Lenham Farm, Swadlincote, England, DE11 4RA                                                  Happy Birthday, Marty Kessler
Nathaniel Bauch                         80 Weavers Walk, Ranfurly, Scotland, PA11 3FG                                                       Happy Birthday, Nathaniel Bauch
Kathy Champlin                          Flat 2, 38 Old Shambles Square, Manchester, England, M60 3ZW                                        Happy Birthday, Kathy Champlin
Randy Pouros                            8 River Lawn Road, Sowerby, England, YO7 5UR                                                        Happy Birthday, Randy Pouros
Johnathan Zulauf MD                     8 Felcourt Road, Cockermouth, England, CA13 9DD                                                     Happy Birthday, Johnathan Zulauf MD
Susan Adams                             8 Olivers Yard, Gullane, Scotland, EH31 7HB                                                         Happy Birthday, Susan Adams
Janie Jerde                             39 Globeside, Ferryhill, England, DL17 7SG                                                          Happy Birthday, Janie Jerde
Winston Lehner                          Flat 3, 72 Newark Road North, Arlesey, England, SG15 9WH                                            Happy Birthday, Winston Lehner
Kimberly Tremblay                       40 Heywoods Road, West Bromwich, England, B70 0TL                                                   Happy Birthday, Kimberly Tremblay
Ms. Rosemary Schiller                   5 Stoney Street, Huddersfield, England, HD4 6YB                                                     Happy Birthday, Ms. Rosemary Schiller
Wanda VonRueden                         2 Rowan Road, County Armagh, Northern Ireland, BT61 3TS                                             Happy Birthday, Wanda VonRueden
Edmund Altenwerth                       7 Combe Road, Tenbury, England, WR15 4BW                                                            Happy Birthday, Edmund Altenwerth
Darrell Hartmann                        Flat 6, 5 Woodhouse Green, Dolbenmaen, Wales, LL51 1ZW                                              Happy Birthday, Darrell Hartmann
Katie Dicki DDS                         27 Cooksbridge, Argyll and Bute, Scotland, PA41 8JU                                                 Happy Birthday, Katie Dicki DDS
Wayne Pfannerstill                      1 Colman Parade, Cleator Moor, England, CA25 9WR                                                    Happy Birthday, Wayne Pfannerstill
Ms. Kerry Larkin                        2 The Sion, Dungannon, Northern Ireland, BT68 9WF                                                   Happy Birthday, Ms. Kerry Larkin
Robin Purdy                             48 The Brunel Centre, Aldeburgh, England, IP15 9FP                                                  Happy Birthday, Robin Purdy
Juanita Frami                           Studio 18, 5 Darnley Street, Rushden, England, NN10 9BQ                                             Happy Birthday, Juanita Frami
Dr. Cindy Cummerata                     3 Ruthvenfield Avenue, Boston, England, PE21 0GZ                                                    Happy Birthday, Dr. Cindy Cummerata
Janice Muller                           472 Hanover Square, Coniston, England, LA21 4PG                                                     Happy Birthday, Janice Muller
Juanita Terry DVM                       18 Altona Road, St Columb Major, England, TR9 5QA                                                   Happy Birthday, Juanita Terry DVM
Kelley Torphy                           3 Stratham Street, Whitchurch-on-Thames, England, RG8 6FU                                           Happy Birthday, Kelley Torphy
Santos Johnston                         4 Cumberland Drive, Bradwell Abbey, England, MK8 9HU                                                Happy Birthday, Santos Johnston
Lynn Heathcote                          Flat 38, 48 Belasis Hall Technology Park, Llandovery, Wales, SA20 1GT                               Happy Birthday, Lynn Heathcote
